Date,Cases,Distinct activities,Number of distinct activities,Number of simple cycles in period,Average number of simple cycles per trace,Median number of simple cycles per trace,Number of activity repetitions in period,Average number of activity repetitions per trace,Median number of activity repetitions per trace,Number of participants in period,Average number of participants per trace,Median number of participants per trace,Handover of work in period,Average handover of work per trace,Median handover of work per trace,Average handover of work from participant,Median handover of work from participant,Simple Variant Entropy,Simple Normalized Variant Entropy,Simple Sequence Entropy,Simple Normalized Sequence Entropy,Simple Sequence Entropy (linear forgetting),Simple Normalized Sequence Entropy (linear forgetting),"Simple Sequence Entropy (exponential forgetting, k1)","Simple Normalized Sequence Entropy (exponential forgetting, k1)",Enriched Variant Entropy,Enriched Normalized Variant Entropy,Enriched Sequence Entropy,Enriched Normalized Sequence Entropy,Enriched Sequence Entropy (linear forgetting),Enriched Normalized Sequence Entropy (linear forgetting),"Enriched Sequence Entropy (exponential forgetting, k1)","Enriched Normalized Sequence Entropy (exponential forgetting, k1)",Median throughput time,Average throughput time,PM4Py median throughput time,Median cycle time,Average cycle time,Ratio to shortest,Ratio to median,Magnitude,Support,Variety,Level of detail,Time granularity,Structure,Affinity,Minimum trace length,Average trace length,Maximum trace length,Distinct traces,Deviation from random,Lempel-Ziv,Pentland task complexity
2016-10-01,1,"['Declaration FINAL_APPROVED by SUPERVISOR', 'Declaration SUBMITTED by EMPLOYEE', 'End trip', 'Payment Handled', 'Permit FINAL_APPROVED by SUPERVISOR', 'Permit SUBMITTED by EMPLOYEE', 'Request Payment', 'Start trip']",8,0,0.0,0.0,0,0.0,0.0,2,2.0,2.0,1,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16479053.0,16479053.0,16479053.0,0.0,0.0,363.0387072611914,2.658995529306864,8,1,8,8.0,0.0,0.890625,,8,8.0,8,1.0,0.6433038507957468,8,8
2016-11-01,2,"['Declaration FINAL_APPROVED by SUPERVISOR', 'Declaration SUBMITTED by EMPLOYEE', 'End trip', 'Payment Handled', 'Permit FINAL_APPROVED by SUPERVISOR', 'Permit SUBMITTED by EMPLOYEE', 'Request Payment', 'Start trip']",8,0,0.0,0.0,0,0.0,0.0,2,2.0,2.0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.090354888959126,0.25000000000000006,11.090354888959126,0.25000000000000006,7.829773688429642,0.17649961986844268,8.666125785529712,0.19535276085162012,13109457.5,13109457.5,16479053.0,0.0,0.0,288.8054613147691,2.115290780613324,16,2,8,8.0,2.5,0.890625,1.0,8,8.0,8,0.5,0.6433038507957468,12,8
2016-12-01,5,"['Declaration APPROVED by ADMINISTRATION', 'Declaration APPROVED by PRE_APPROVER', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Declaration SUBMITTED by EMPLOYEE', 'End trip', 'Payment Handled', 'Permit APPROVED by SUPERVISOR', 'Permit FINAL_APPROVED by DIRECTOR', 'Permit FINAL_APPROVED by SUPERVISOR', 'Permit SAVED by EMPLOYEE', 'Permit SUBMITTED by EMPLOYEE', 'Request Payment', 'Start trip']",13,27,5.4,0.0,79,15.8,0.0,2,1.8,2.0,16,3.2,1.0,8.0,8.0,33.20264367011697,0.0738941961978762,68.6981180830602,0.12329734496441781,22.069521169573466,0.03960972208226185,36.660653762143916,0.06579745413210579,98.9890461752932,0.17766260437028447,98.9890461752932,0.17766260437028447,29.13574592456098,0.05229197271041463,50.78183241395996,0.09114172678644597,9739862.0,13713283.4,9739862.0,0.0,0.0,214.57221536834683,1.571586031919784,117,5,13,7.6,362881.0,0.8402366863905325,0.3605769230769231,3,23.4,90,0.6,0.7449841272808154,49,101
2017-01-01,130,"['Declaration APPROVED by ADMINISTRATION', 'Declaration APPROVED by PRE_APPROVER', 'Declaration APPROVED by SUPERVISOR', 'Declaration FINAL_APPROVED by DIRECTOR', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Declaration REJECTED by DIRECTOR', 'Declaration REJECTED by EMPLOYEE', 'Declaration REJECTED by MISSING', 'Declaration REJECTED by PRE_APPROVER', 'Declaration REJECTED by SUPERVISOR', 'Declaration SAVED by EMPLOYEE', 'Declaration SUBMITTED by EMPLOYEE', 'End trip', 'Payment Handled', 'Permit APPROVED by PRE_APPROVER', 'Permit APPROVED by SUPERVISOR', 'Permit FINAL_APPROVED by DIRECTOR', 'Permit FINAL_APPROVED by SUPERVISOR', 'Permit REJECTED by EMPLOYEE', 'Permit REJECTED by MISSING', 'Permit REJECTED by PRE_APPROVER', 'Permit REJECTED by SUPERVISOR', 'Permit SAVED by EMPLOYEE', 'Permit SUBMITTED by EMPLOYEE', 'Request For Payment APPROVED by PRE_APPROVER', 'Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request For Payment REJECTED by EMPLOYEE', 'Request For Payment REJECTED by MISSING', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment SUBMITTED by EMPLOYEE', 'Request Payment', 'Send Reminder', 'Start trip']",33,49,0.3769230769230769,0.0,182,1.4,0.0,2,1.9153846153846155,2.0,171,1.3153846153846154,1.0,85.5,85.5,1269.2800100400486,0.539045132559058,3813.4881437812596,0.4020668842564621,1340.827877586508,0.14136729071638487,2039.2087555663472,0.21499956989143526,6221.001419836964,0.6558978456266432,6221.001419836964,0.6558978456266432,1980.6340027355145,0.20882386736429082,3198.4442728770373,0.3372210623915761,6061712.5,9562824.715384616,6069584.0,0.0,0.0,133.5414280049348,0.978094216788036,1320,130,33,8.753846153846155,15813.061538461538,0.9164370982552801,0.3974040022998912,3,10.153846153846153,90,0.3384615384615385,0.7618071226376143,423,578
2017-02-01,242,"['Declaration APPROVED by ADMINISTRATION', 'Declaration APPROVED by PRE_APPROVER', 'Declaration APPROVED by SUPERVISOR', 'Declaration FINAL_APPROVED by DIRECTOR', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Declaration REJECTED by DIRECTOR', 'Declaration REJECTED by EMPLOYEE', 'Declaration REJECTED by MISSING', 'Declaration REJECTED by PRE_APPROVER', 'Declaration REJECTED by SUPERVISOR', 'Declaration SAVED by EMPLOYEE', 'Declaration SUBMITTED by EMPLOYEE', 'End trip', 'Payment Handled', 'Permit APPROVED by ADMINISTRATION', 'Permit APPROVED by PRE_APPROVER', 'Permit APPROVED by SUPERVISOR', 'Permit FINAL_APPROVED by DIRECTOR', 'Permit FINAL_APPROVED by SUPERVISOR', 'Permit REJECTED by EMPLOYEE', 'Permit REJECTED by MISSING', 'Permit REJECTED by PRE_APPROVER', 'Permit REJECTED by SUPERVISOR', 'Permit SAVED by EMPLOYEE', 'Permit SUBMITTED by EMPLOYEE', 'Request For Payment APPROVED by PRE_APPROVER', 'Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request For Payment REJECTED by EMPLOYEE', 'Request For Payment REJECTED by MISSING', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment SUBMITTED by EMPLOYEE', 'Request Payment', 'Send Reminder', 'Start trip']",34,76,0.3140495867768595,0.0,317,1.3099173553719008,0.0,2,1.9132231404958677,2.0,328,1.3553719008264462,1.0,164.0,164.0,2478.651098406081,0.5929593712059916,7389.354530367653,0.37709610911791763,2734.593118041985,0.13955270661278718,4020.041656818998,0.2051521632976739,13443.985363969134,0.6860781345591701,13443.985363969134,0.6860781345591701,4477.645697399303,0.2285047717711619,7005.137878245393,0.3574886313635098,6399614.5,9755796.479338843,6575860.0,0.0,0.0,140.98551506873457,1.0326167617027133,2504,242,34,9.037190082644628,9952.01652892562,0.9065743944636678,0.3935486305636721,3,10.347107438016529,90,0.2975206611570248,0.7643624922965702,728,991
2017-03-01,351,"['Declaration APPROVED by ADMINISTRATION', 'Declaration APPROVED by BUDGET OWNER', 'Declaration APPROVED by PRE_APPROVER', 'Declaration APPROVED by SUPERVISOR', 'Declaration FINAL_APPROVED by DIRECTOR', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Declaration REJECTED by DIRECTOR', 'Declaration REJECTED by EMPLOYEE', 'Declaration REJECTED by MISSING', 'Declaration REJECTED by PRE_APPROVER', 'Declaration REJECTED by SUPERVISOR', 'Declaration SAVED by EMPLOYEE', 'Declaration SUBMITTED by EMPLOYEE', 'End trip', 'Payment Handled', 'Permit APPROVED by ADMINISTRATION', 'Permit APPROVED by PRE_APPROVER', 'Permit APPROVED by SUPERVISOR', 'Permit FINAL_APPROVED by DIRECTOR', 'Permit FINAL_APPROVED by SUPERVISOR', 'Permit REJECTED by EMPLOYEE', 'Permit REJECTED by MISSING', 'Permit REJECTED by PRE_APPROVER', 'Permit REJECTED by SUPERVISOR', 'Permit SAVED by EMPLOYEE', 'Permit SUBMITTED by EMPLOYEE', 'Request For Payment APPROVED by PRE_APPROVER', 'Request For Payment APPROVED by SUPERVISOR', 'Request For Payment FINAL_APPROVED by DIRECTOR', 'Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request For Payment REJECTED by EMPLOYEE', 'Request For Payment REJECTED by MISSING', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment REJECTED by SUPERVISOR', 'Request For Payment SUBMITTED by EMPLOYEE', 'Request Payment', 'Send Reminder', 'Start trip']",38,88,0.25071225071225073,0.0,466,1.3276353276353277,0.0,2,1.9173789173789173,2.0,498,1.4188034188034189,1.0,249.0,249.0,4318.150511131856,0.636027429914626,12488.612900447992,0.4056477782922435,5109.1920094739,0.1659537695685343,7049.709686383027,0.22898452331595615,21545.908844541325,0.6998415375467251,21545.908844541325,0.6998415375467251,8092.230697959257,0.2628470775915963,11710.72520841856,0.38038088784187973,7525846.0,10288258.065527065,7525846.0,0.0,0.0,165.79674832569617,1.2143410709494016,3742,351,38,9.333333333333334,3356.988603988604,0.9023545706371191,0.36761266385352503,3,10.660968660968662,90,0.32763532763532766,0.7715149697865655,1042,1547
2017-04-01,411,"['Declaration APPROVED by ADMINISTRATION', 'Declaration APPROVED by BUDGET OWNER', 'Declaration APPROVED by PRE_APPROVER', 'Declaration APPROVED by SUPERVISOR', 'Declaration FINAL_APPROVED by DIRECTOR', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Declaration REJECTED by DIRECTOR', 'Declaration REJECTED by EMPLOYEE', 'Declaration REJECTED by MISSING', 'Declaration REJECTED by PRE_APPROVER', 'Declaration REJECTED by SUPERVISOR', 'Declaration SAVED by EMPLOYEE', 'Declaration SUBMITTED by EMPLOYEE', 'End trip', 'Payment Handled', 'Permit APPROVED by ADMINISTRATION', 'Permit APPROVED by PRE_APPROVER', 'Permit APPROVED by SUPERVISOR', 'Permit FINAL_APPROVED by DIRECTOR', 'Permit FINAL_APPROVED by SUPERVISOR', 'Permit REJECTED by EMPLOYEE', 'Permit REJECTED by MISSING', 'Permit REJECTED by PRE_APPROVER', 'Permit REJECTED by SUPERVISOR', 'Permit SAVED by EMPLOYEE', 'Permit SUBMITTED by EMPLOYEE', 'Request For Payment APPROVED by PRE_APPROVER', 'Request For Payment APPROVED by SUPERVISOR', 'Request For Payment FINAL_APPROVED by DIRECTOR', 'Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request For Payment REJECTED by EMPLOYEE', 'Request For Payment REJECTED by MISSING', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment REJECTED by SUPERVISOR', 'Request For Payment SUBMITTED by EMPLOYEE', 'Request Payment', 'Send Reminder', 'Start trip']",38,102,0.24817518248175183,0.0,571,1.389294403892944,0.0,2,1.9197080291970803,2.0,582,1.416058394160584,1.0,291.0,291.0,5374.121235499802,0.6426371054888761,15041.095822364869,0.4090325555224836,6695.413015296387,0.18207728534333545,8788.368233715388,0.23899380470431916,25929.958617373115,0.7051479069820052,25929.958617373115,0.7051479069820052,10817.221510047984,0.29416711456147343,14679.455191640156,0.39919798009572893,8745849.0,11171906.639902676,8745849.0,0.0,0.0,192.67379714487134,1.4111959826206584,4385,411,38,9.279805352798054,2840.0924574209243,0.889196675900277,0.35144949793357283,3,10.669099756690997,90,0.3260340632603406,0.7760336510378558,1191,1856
2017-05-01,502,"['Declaration APPROVED by ADMINISTRATION', 'Declaration APPROVED by BUDGET OWNER', 'Declaration APPROVED by PRE_APPROVER', 'Declaration APPROVED by SUPERVISOR', 'Declaration FINAL_APPROVED by DIRECTOR', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Declaration REJECTED by DIRECTOR', 'Declaration REJECTED by EMPLOYEE', 'Declaration REJECTED by MISSING', 'Declaration REJECTED by PRE_APPROVER', 'Declaration REJECTED by SUPERVISOR', 'Declaration SAVED by EMPLOYEE', 'Declaration SUBMITTED by EMPLOYEE', 'End trip', 'Payment Handled', 'Permit APPROVED by ADMINISTRATION', 'Permit APPROVED by PRE_APPROVER', 'Permit APPROVED by SUPERVISOR', 'Permit FINAL_APPROVED by DIRECTOR', 'Permit FINAL_APPROVED by SUPERVISOR', 'Permit REJECTED by EMPLOYEE', 'Permit REJECTED by MISSING', 'Permit REJECTED by PRE_APPROVER', 'Permit REJECTED by SUPERVISOR', 'Permit SAVED by EMPLOYEE', 'Permit SUBMITTED by EMPLOYEE', 'Request For Payment APPROVED by PRE_APPROVER', 'Request For Payment APPROVED by SUPERVISOR', 'Request For Payment FINAL_APPROVED by DIRECTOR', 'Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request For Payment REJECTED by EMPLOYEE', 'Request For Payment REJECTED by MISSING', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment REJECTED by SUPERVISOR', 'Request For Payment SUBMITTED by EMPLOYEE', 'Request Payment', 'Send Reminder', 'Start trip']",38,149,0.2968127490039841,0.0,791,1.5756972111553784,0.0,2,1.9243027888446216,2.0,759,1.5119521912350598,1.0,379.5,379.5,7123.249703834703,0.6533085880632487,20569.707922324676,0.43066167208022915,7741.36987735476,0.16207868911715392,11281.860983651104,0.23620486658066184,33879.05046380586,0.7093152988039203,33879.05046380586,0.7093152988039203,11853.899088047941,0.24818145309630085,18025.65620480714,0.3773976407842097,9305186.5,11505568.715139443,9306353.0,0.0,0.0,204.99617774057103,1.501448493603764,5541,502,38,9.46215139442231,4877.173306772908,0.878808864265928,0.3245786893963178,3,11.03784860557769,90,0.32669322709163345,0.7851051893894729,1456,2373
2017-06-01,553,"['Declaration APPROVED by ADMINISTRATION', 'Declaration APPROVED by BUDGET OWNER', 'Declaration APPROVED by PRE_APPROVER', 'Declaration APPROVED by SUPERVISOR', 'Declaration FINAL_APPROVED by DIRECTOR', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Declaration REJECTED by DIRECTOR', 'Declaration REJECTED by EMPLOYEE', 'Declaration REJECTED by MISSING', 'Declaration REJECTED by PRE_APPROVER', 'Declaration REJECTED by SUPERVISOR', 'Declaration SAVED by EMPLOYEE', 'Declaration SUBMITTED by EMPLOYEE', 'End trip', 'Payment Handled', 'Permit APPROVED by ADMINISTRATION', 'Permit APPROVED by PRE_APPROVER', 'Permit APPROVED by SUPERVISOR', 'Permit FINAL_APPROVED by DIRECTOR', 'Permit FINAL_APPROVED by SUPERVISOR', 'Permit REJECTED by EMPLOYEE', 'Permit REJECTED by MISSING', 'Permit REJECTED by PRE_APPROVER', 'Permit REJECTED by SUPERVISOR', 'Permit SAVED by EMPLOYEE', 'Permit SUBMITTED by EMPLOYEE', 'Request For Payment APPROVED by PRE_APPROVER', 'Request For Payment APPROVED by SUPERVISOR', 'Request For Payment FINAL_APPROVED by DIRECTOR', 'Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request For Payment REJECTED by EMPLOYEE', 'Request For Payment REJECTED by MISSING', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment REJECTED by SUPERVISOR', 'Request For Payment SAVED by EMPLOYEE', 'Request For Payment SUBMITTED by EMPLOYEE', 'Request Payment', 'Send Reminder', 'Start trip']",39,152,0.27486437613019893,0.0,872,1.576853526220615,0.0,2,1.9511754068716094,2.0,854,1.5443037974683544,1.0,427.0,427.0,8013.147836956163,0.663273160212218,24181.332638733784,0.4493067162849882,6927.83822114705,0.12872426381957283,11971.521599592048,0.22243956274897714,38354.86498319478,0.7126612373525377,38354.86498319478,0.7126612373525377,10411.720826374973,0.1934573319537083,18669.8332293574,0.34689905586238107,9771723.0,11885717.233273055,9771723.0,0.0,0.0,215.27412319351427,1.576726998245898,6167,553,39,9.5750452079566,3976.0452079566003,0.873767258382643,0.3155491066088194,3,11.151898734177216,90,0.3345388788426763,0.7878287855157607,1596,2670
2017-07-01,555,"['Declaration APPROVED by ADMINISTRATION', 'Declaration APPROVED by BUDGET OWNER', 'Declaration APPROVED by PRE_APPROVER', 'Declaration APPROVED by SUPERVISOR', 'Declaration FINAL_APPROVED by DIRECTOR', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Declaration REJECTED by DIRECTOR', 'Declaration REJECTED by EMPLOYEE', 'Declaration REJECTED by MISSING', 'Declaration REJECTED by PRE_APPROVER', 'Declaration REJECTED by SUPERVISOR', 'Declaration SAVED by EMPLOYEE', 'Declaration SUBMITTED by EMPLOYEE', 'End trip', 'Payment Handled', 'Permit APPROVED by ADMINISTRATION', 'Permit APPROVED by PRE_APPROVER', 'Permit APPROVED by SUPERVISOR', 'Permit FINAL_APPROVED by DIRECTOR', 'Permit FINAL_APPROVED by SUPERVISOR', 'Permit REJECTED by ADMINISTRATION', 'Permit REJECTED by EMPLOYEE', 'Permit REJECTED by MISSING', 'Permit REJECTED by PRE_APPROVER', 'Permit REJECTED by SUPERVISOR', 'Permit SAVED by EMPLOYEE', 'Permit SUBMITTED by EMPLOYEE', 'Request For Payment APPROVED by PRE_APPROVER', 'Request For Payment APPROVED by SUPERVISOR', 'Request For Payment FINAL_APPROVED by DIRECTOR', 'Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request For Payment REJECTED by EMPLOYEE', 'Request For Payment REJECTED by MISSING', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment REJECTED by SUPERVISOR', 'Request For Payment SAVED by EMPLOYEE', 'Request For Payment SUBMITTED by EMPLOYEE', 'Request Payment', 'Send Reminder', 'Start trip']",40,172,0.3099099099099099,0.0,881,1.5873873873873874,0.0,2,1.9495495495495496,2.0,858,1.545945945945946,1.0,429.0,429.0,8556.460741831106,0.668617777730541,24819.06464872259,0.465869145731753,7488.8978869505145,0.14057123064247037,12469.575392459288,0.23406161827382524,38006.20866727831,0.7133999695366843,38006.20866727831,0.7133999695366843,10919.566617105624,0.2049669978974728,18792.990040782573,0.35275600994477174,10476322.0,12786230.942342343,10476322.0,0.0,0.0,230.7966602044413,1.690418336634948,6111,555,40,9.423423423423424,3965.0936936936937,0.876875,0.28810703172693924,3,11.010810810810812,90,0.354954954954955,0.7941990148768538,1585,2850
