Date,Cases,Distinct activities,Number of distinct activities,Number of simple cycles in period,Average number of simple cycles per trace,Median number of simple cycles per trace,Number of activity repetitions in period,Average number of activity repetitions per trace,Median number of activity repetitions per trace,Number of participants in period,Average number of participants per trace,Median number of participants per trace,Handover of work in period,Average handover of work per trace,Median handover of work per trace,Average handover of work from participant,Median handover of work from participant,Simple Variant Entropy,Simple Normalized Variant Entropy,Simple Sequence Entropy,Simple Normalized Sequence Entropy,Simple Sequence Entropy (linear forgetting),Simple Normalized Sequence Entropy (linear forgetting),"Simple Sequence Entropy (exponential forgetting, k1)","Simple Normalized Sequence Entropy (exponential forgetting, k1)",Enriched Variant Entropy,Enriched Normalized Variant Entropy,Enriched Sequence Entropy,Enriched Normalized Sequence Entropy,Enriched Sequence Entropy (linear forgetting),Enriched Normalized Sequence Entropy (linear forgetting),"Enriched Sequence Entropy (exponential forgetting, k1)","Enriched Normalized Sequence Entropy (exponential forgetting, k1)",Median throughput time,Average throughput time,PM4Py median throughput time,Median cycle time,Average cycle time,Ratio to shortest,Ratio to median,Magnitude,Support,Variety,Level of detail,Time granularity,Structure,Affinity,Minimum trace length,Average trace length,Maximum trace length,Distinct traces,Deviation from random,Lempel-Ziv,Pentland task complexity
2009-11-01,1,"['01_BB_540', '01_BB_770', '01_HOOFD_010', '01_HOOFD_015', '01_HOOFD_020', '01_HOOFD_030_1', '01_HOOFD_030_2', '01_HOOFD_040', '01_HOOFD_050', '01_HOOFD_060', '01_HOOFD_065_1', '01_HOOFD_065_2', '01_HOOFD_101', '01_HOOFD_110', '01_HOOFD_120', '01_HOOFD_180', '01_HOOFD_190', '01_HOOFD_195', '01_HOOFD_200', '01_HOOFD_250', '01_HOOFD_260', '01_HOOFD_330', '01_HOOFD_370', '01_HOOFD_375', '01_HOOFD_380', '01_HOOFD_430', '01_HOOFD_470', '01_HOOFD_480', '01_HOOFD_490_1', '01_HOOFD_490_2', '01_HOOFD_490_3', '01_HOOFD_495', '01_HOOFD_510_1', '01_HOOFD_510_2', '01_HOOFD_520', '01_HOOFD_530', '01_HOOFD_790', '01_HOOFD_800', '03_GBH_005', '05_EIND_010', '06_VD_010', '07_OPS_010', '09_AH_I_010', '14_VRIJ_010', '15_NGV_010']",45,0,0.0,0.0,0,0.0,0.0,3,3.0,3.0,6,6.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55785851.0,55785851.0,55785851.0,0.0,0.0,645.6695717592593,8.366469782297385,45,1,45,45.0,0.0,0.9782716049382716,,45,45.0,45,1.0,0.8508911620098301,45,45
2009-12-01,1,"['01_BB_540', '01_BB_770', '01_HOOFD_010', '01_HOOFD_015', '01_HOOFD_020', '01_HOOFD_030_1', '01_HOOFD_030_2', '01_HOOFD_040', '01_HOOFD_050', '01_HOOFD_060', '01_HOOFD_065_1', '01_HOOFD_065_2', '01_HOOFD_101', '01_HOOFD_110', '01_HOOFD_120', '01_HOOFD_180', '01_HOOFD_190', '01_HOOFD_195', '01_HOOFD_200', '01_HOOFD_250', '01_HOOFD_260', '01_HOOFD_330', '01_HOOFD_370', '01_HOOFD_375', '01_HOOFD_380', '01_HOOFD_430', '01_HOOFD_470', '01_HOOFD_480', '01_HOOFD_490_1', '01_HOOFD_490_2', '01_HOOFD_490_3', '01_HOOFD_495', '01_HOOFD_510_1', '01_HOOFD_510_2', '01_HOOFD_520', '01_HOOFD_530', '01_HOOFD_790', '01_HOOFD_800', '03_GBH_005', '05_EIND_010', '06_VD_010', '07_OPS_010', '09_AH_I_010', '14_VRIJ_010', '15_NGV_010']",45,0,0.0,0.0,0,0.0,0.0,3,3.0,3.0,6,6.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55785851.0,55785851.0,55785851.0,0.0,0.0,645.6695717592593,8.366469782297385,45,1,45,45.0,0.0,0.9782716049382716,,45,45.0,45,1.0,0.8508911620098301,45,45
2010-01-01,1,"['01_BB_540', '01_BB_770', '01_HOOFD_010', '01_HOOFD_015', '01_HOOFD_020', '01_HOOFD_030_1', '01_HOOFD_030_2', '01_HOOFD_040', '01_HOOFD_050', '01_HOOFD_060', '01_HOOFD_065_1', '01_HOOFD_065_2', '01_HOOFD_101', '01_HOOFD_110', '01_HOOFD_120', '01_HOOFD_180', '01_HOOFD_190', '01_HOOFD_195', '01_HOOFD_200', '01_HOOFD_250', '01_HOOFD_260', '01_HOOFD_330', '01_HOOFD_370', '01_HOOFD_375', '01_HOOFD_380', '01_HOOFD_430', '01_HOOFD_470', '01_HOOFD_480', '01_HOOFD_490_1', '01_HOOFD_490_2', '01_HOOFD_490_3', '01_HOOFD_495', '01_HOOFD_510_1', '01_HOOFD_510_2', '01_HOOFD_520', '01_HOOFD_530', '01_HOOFD_790', '01_HOOFD_800', '03_GBH_005', '05_EIND_010', '06_VD_010', '07_OPS_010', '09_AH_I_010', '14_VRIJ_010', '15_NGV_010']",45,0,0.0,0.0,0,0.0,0.0,3,3.0,3.0,6,6.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55785851.0,55785851.0,55785851.0,0.0,0.0,645.6695717592593,8.366469782297385,45,1,45,45.0,0.0,0.9782716049382716,,45,45.0,45,1.0,0.8508911620098301,45,45
2010-02-01,1,"['01_BB_540', '01_BB_770', '01_HOOFD_010', '01_HOOFD_015', '01_HOOFD_020', '01_HOOFD_030_1', '01_HOOFD_030_2', '01_HOOFD_040', '01_HOOFD_050', '01_HOOFD_060', '01_HOOFD_065_1', '01_HOOFD_065_2', '01_HOOFD_101', '01_HOOFD_110', '01_HOOFD_120', '01_HOOFD_180', '01_HOOFD_190', '01_HOOFD_195', '01_HOOFD_200', '01_HOOFD_250', '01_HOOFD_260', '01_HOOFD_330', '01_HOOFD_370', '01_HOOFD_375', '01_HOOFD_380', '01_HOOFD_430', '01_HOOFD_470', '01_HOOFD_480', '01_HOOFD_490_1', '01_HOOFD_490_2', '01_HOOFD_490_3', '01_HOOFD_495', '01_HOOFD_510_1', '01_HOOFD_510_2', '01_HOOFD_520', '01_HOOFD_530', '01_HOOFD_790', '01_HOOFD_800', '03_GBH_005', '05_EIND_010', '06_VD_010', '07_OPS_010', '09_AH_I_010', '14_VRIJ_010', '15_NGV_010']",45,0,0.0,0.0,0,0.0,0.0,3,3.0,3.0,6,6.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55785851.0,55785851.0,55785851.0,0.0,0.0,645.6695717592593,8.366469782297385,45,1,45,45.0,0.0,0.9782716049382716,,45,45.0,45,1.0,0.8508911620098301,45,45
2010-03-01,1,"['01_BB_540', '01_BB_770', '01_HOOFD_010', '01_HOOFD_015', '01_HOOFD_020', '01_HOOFD_030_1', '01_HOOFD_030_2', '01_HOOFD_040', '01_HOOFD_050', '01_HOOFD_060', '01_HOOFD_065_1', '01_HOOFD_065_2', '01_HOOFD_101', '01_HOOFD_110', '01_HOOFD_120', '01_HOOFD_180', '01_HOOFD_190', '01_HOOFD_195', '01_HOOFD_200', '01_HOOFD_250', '01_HOOFD_260', '01_HOOFD_330', '01_HOOFD_370', '01_HOOFD_375', '01_HOOFD_380', '01_HOOFD_430', '01_HOOFD_470', '01_HOOFD_480', '01_HOOFD_490_1', '01_HOOFD_490_2', '01_HOOFD_490_3', '01_HOOFD_495', '01_HOOFD_510_1', '01_HOOFD_510_2', '01_HOOFD_520', '01_HOOFD_530', '01_HOOFD_790', '01_HOOFD_800', '03_GBH_005', '05_EIND_010', '06_VD_010', '07_OPS_010', '09_AH_I_010', '14_VRIJ_010', '15_NGV_010']",45,0,0.0,0.0,0,0.0,0.0,3,3.0,3.0,6,6.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55785851.0,55785851.0,55785851.0,0.0,0.0,645.6695717592593,8.366469782297385,45,1,45,45.0,0.0,0.9782716049382716,,45,45.0,45,1.0,0.8508911620098301,45,45
2010-04-01,1,"['01_BB_540', '01_BB_770', '01_HOOFD_010', '01_HOOFD_015', '01_HOOFD_020', '01_HOOFD_030_1', '01_HOOFD_030_2', '01_HOOFD_040', '01_HOOFD_050', '01_HOOFD_060', '01_HOOFD_065_1', '01_HOOFD_065_2', '01_HOOFD_101', '01_HOOFD_110', '01_HOOFD_120', '01_HOOFD_180', '01_HOOFD_190', '01_HOOFD_195', '01_HOOFD_200', '01_HOOFD_250', '01_HOOFD_260', '01_HOOFD_330', '01_HOOFD_370', '01_HOOFD_375', '01_HOOFD_380', '01_HOOFD_430', '01_HOOFD_470', '01_HOOFD_480', '01_HOOFD_490_1', '01_HOOFD_490_2', '01_HOOFD_490_3', '01_HOOFD_495', '01_HOOFD_510_1', '01_HOOFD_510_2', '01_HOOFD_520', '01_HOOFD_530', '01_HOOFD_790', '01_HOOFD_800', '03_GBH_005', '05_EIND_010', '06_VD_010', '07_OPS_010', '09_AH_I_010', '14_VRIJ_010', '15_NGV_010']",45,0,0.0,0.0,0,0.0,0.0,3,3.0,3.0,6,6.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55785851.0,55785851.0,55785851.0,0.0,0.0,645.6695717592593,8.366469782297385,45,1,45,45.0,0.0,0.9782716049382716,,45,45.0,45,1.0,0.8508911620098301,45,45
2010-05-01,1,"['01_BB_540', '01_BB_770', '01_HOOFD_010', '01_HOOFD_015', '01_HOOFD_020', '01_HOOFD_030_1', '01_HOOFD_030_2', '01_HOOFD_040', '01_HOOFD_050', '01_HOOFD_060', '01_HOOFD_065_1', '01_HOOFD_065_2', '01_HOOFD_101', '01_HOOFD_110', '01_HOOFD_120', '01_HOOFD_180', '01_HOOFD_190', '01_HOOFD_195', '01_HOOFD_200', '01_HOOFD_250', '01_HOOFD_260', '01_HOOFD_330', '01_HOOFD_370', '01_HOOFD_375', '01_HOOFD_380', '01_HOOFD_430', '01_HOOFD_470', '01_HOOFD_480', '01_HOOFD_490_1', '01_HOOFD_490_2', '01_HOOFD_490_3', '01_HOOFD_495', '01_HOOFD_510_1', '01_HOOFD_510_2', '01_HOOFD_520', '01_HOOFD_530', '01_HOOFD_790', '01_HOOFD_800', '03_GBH_005', '05_EIND_010', '06_VD_010', '07_OPS_010', '09_AH_I_010', '14_VRIJ_010', '15_NGV_010']",45,0,0.0,0.0,0,0.0,0.0,3,3.0,3.0,6,6.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55785851.0,55785851.0,55785851.0,0.0,0.0,645.6695717592593,8.366469782297385,45,1,45,45.0,0.0,0.9782716049382716,,45,45.0,45,1.0,0.8508911620098301,45,45
2010-06-01,1,"['01_BB_540', '01_BB_770', '01_HOOFD_010', '01_HOOFD_015', '01_HOOFD_020', '01_HOOFD_030_1', '01_HOOFD_030_2', '01_HOOFD_040', '01_HOOFD_050', '01_HOOFD_060', '01_HOOFD_065_1', '01_HOOFD_065_2', '01_HOOFD_101', '01_HOOFD_110', '01_HOOFD_120', '01_HOOFD_180', '01_HOOFD_190', '01_HOOFD_195', '01_HOOFD_200', '01_HOOFD_250', '01_HOOFD_260', '01_HOOFD_330', '01_HOOFD_370', '01_HOOFD_375', '01_HOOFD_380', '01_HOOFD_430', '01_HOOFD_470', '01_HOOFD_480', '01_HOOFD_490_1', '01_HOOFD_490_2', '01_HOOFD_490_3', '01_HOOFD_495', '01_HOOFD_510_1', '01_HOOFD_510_2', '01_HOOFD_520', '01_HOOFD_530', '01_HOOFD_790', '01_HOOFD_800', '03_GBH_005', '05_EIND_010', '06_VD_010', '07_OPS_010', '09_AH_I_010', '14_VRIJ_010', '15_NGV_010']",45,0,0.0,0.0,0,0.0,0.0,3,3.0,3.0,6,6.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55785851.0,55785851.0,55785851.0,0.0,0.0,645.6695717592593,8.366469782297385,45,1,45,45.0,0.0,0.9782716049382716,,45,45.0,45,1.0,0.8508911620098301,45,45
2010-07-01,1,"['01_BB_540', '01_BB_770', '01_HOOFD_010', '01_HOOFD_015', '01_HOOFD_020', '01_HOOFD_030_1', '01_HOOFD_030_2', '01_HOOFD_040', '01_HOOFD_050', '01_HOOFD_060', '01_HOOFD_065_1', '01_HOOFD_065_2', '01_HOOFD_101', '01_HOOFD_110', '01_HOOFD_120', '01_HOOFD_180', '01_HOOFD_190', '01_HOOFD_195', '01_HOOFD_200', '01_HOOFD_250', '01_HOOFD_260', '01_HOOFD_330', '01_HOOFD_370', '01_HOOFD_375', '01_HOOFD_380', '01_HOOFD_430', '01_HOOFD_470', '01_HOOFD_480', '01_HOOFD_490_1', '01_HOOFD_490_2', '01_HOOFD_490_3', '01_HOOFD_495', '01_HOOFD_510_1', '01_HOOFD_510_2', '01_HOOFD_520', '01_HOOFD_530', '01_HOOFD_790', '01_HOOFD_800', '03_GBH_005', '05_EIND_010', '06_VD_010', '07_OPS_010', '09_AH_I_010', '14_VRIJ_010', '15_NGV_010']",45,0,0.0,0.0,0,0.0,0.0,3,3.0,3.0,6,6.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55785851.0,55785851.0,55785851.0,0.0,0.0,645.6695717592593,8.366469782297385,45,1,45,45.0,0.0,0.9782716049382716,,45,45.0,45,1.0,0.8508911620098301,45,45
2010-08-01,1,"['01_BB_540', '01_BB_770', '01_HOOFD_010', '01_HOOFD_015', '01_HOOFD_020', '01_HOOFD_030_1', '01_HOOFD_030_2', '01_HOOFD_040', '01_HOOFD_050', '01_HOOFD_060', '01_HOOFD_065_1', '01_HOOFD_065_2', '01_HOOFD_101', '01_HOOFD_110', '01_HOOFD_120', '01_HOOFD_180', '01_HOOFD_190', '01_HOOFD_195', '01_HOOFD_200', '01_HOOFD_250', '01_HOOFD_260', '01_HOOFD_330', '01_HOOFD_370', '01_HOOFD_375', '01_HOOFD_380', '01_HOOFD_430', '01_HOOFD_470', '01_HOOFD_480', '01_HOOFD_490_1', '01_HOOFD_490_2', '01_HOOFD_490_3', '01_HOOFD_495', '01_HOOFD_510_1', '01_HOOFD_510_2', '01_HOOFD_520', '01_HOOFD_530', '01_HOOFD_790', '01_HOOFD_800', '03_GBH_005', '05_EIND_010', '06_VD_010', '07_OPS_010', '09_AH_I_010', '14_VRIJ_010', '15_NGV_010']",45,0,0.0,0.0,0,0.0,0.0,3,3.0,3.0,6,6.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55785851.0,55785851.0,55785851.0,0.0,0.0,645.6695717592593,8.366469782297385,45,1,45,45.0,0.0,0.9782716049382716,,45,45.0,45,1.0,0.8508911620098301,45,45
