Date,Cases,Distinct activities,Number of distinct activities,Number of simple cycles in period,Average number of simple cycles per trace,Median number of simple cycles per trace,Number of activity repetitions in period,Average number of activity repetitions per trace,Median number of activity repetitions per trace,Number of participants in period,Average number of participants per trace,Median number of participants per trace,Handover of work in period,Average handover of work per trace,Median handover of work per trace,Average handover of work from participant,Median handover of work from participant,Simple Variant Entropy,Simple Normalized Variant Entropy,Simple Sequence Entropy,Simple Normalized Sequence Entropy,Simple Sequence Entropy (linear forgetting),Simple Normalized Sequence Entropy (linear forgetting),"Simple Sequence Entropy (exponential forgetting, k1)","Simple Normalized Sequence Entropy (exponential forgetting, k1)",Enriched Variant Entropy,Enriched Normalized Variant Entropy,Enriched Sequence Entropy,Enriched Normalized Sequence Entropy,Enriched Sequence Entropy (linear forgetting),Enriched Normalized Sequence Entropy (linear forgetting),"Enriched Sequence Entropy (exponential forgetting, k1)","Enriched Normalized Sequence Entropy (exponential forgetting, k1)",Median throughput time,Average throughput time,PM4Py median throughput time,Median cycle time,Average cycle time,Ratio to shortest,Ratio to median,Magnitude,Support,Variety,Level of detail,Time granularity,Structure,Affinity,Minimum trace length,Average trace length,Maximum trace length,Distinct traces,Deviation from random,Lempel-Ziv,Pentland task complexity
2010-01-01,1,"['01_HOOFD_010', '01_HOOFD_015', '01_HOOFD_020', '01_HOOFD_030_1', '01_HOOFD_030_2', '01_HOOFD_040', '01_HOOFD_050', '01_HOOFD_060', '01_HOOFD_065_1', '01_HOOFD_065_2', '01_HOOFD_090', '01_HOOFD_110', '01_HOOFD_120', '01_HOOFD_130', '01_HOOFD_180', '01_HOOFD_190_1', '01_HOOFD_190_2', '01_HOOFD_200', '01_HOOFD_205', '01_HOOFD_250', '01_HOOFD_260', '01_HOOFD_270', '01_HOOFD_370', '01_HOOFD_375', '01_HOOFD_380', '01_HOOFD_430', '01_HOOFD_440_1', '01_HOOFD_440_2', '01_HOOFD_445', '01_HOOFD_450', '01_HOOFD_451', '01_HOOFD_455', '01_HOOFD_460', '01_HOOFD_465', '01_HOOFD_470', '01_HOOFD_480', '01_HOOFD_490_1', '01_HOOFD_490_2', '01_HOOFD_490_3', '01_HOOFD_500', '04_BPT_010', '04_BPT_020', '04_BPT_030', '05_EIND_010', '06_VD_010', '09_AH_I_010', '10_UOV_010', '10_UOV_020', '10_UOV_030', '10_UOV_040', '10_UOV_045', '10_UOV_050_1', '10_UOV_050_2', '10_UOV_060']",54,0,0.0,0.0,0,0.0,0.0,3,3.0,3.0,5,5.0,5.0,1.6666666666666667,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45187200.0,45187200.0,45187200.0,0.0,0.0,200832.0,13.599030945054283,54,1,54,54.0,0.0,0.9818244170096022,,54,54.0,54,1.0,0.8638934645206888,54,54
2010-02-01,1,"['01_HOOFD_010', '01_HOOFD_015', '01_HOOFD_020', '01_HOOFD_030_1', '01_HOOFD_030_2', '01_HOOFD_040', '01_HOOFD_050', '01_HOOFD_060', '01_HOOFD_065_1', '01_HOOFD_065_2', '01_HOOFD_090', '01_HOOFD_110', '01_HOOFD_120', '01_HOOFD_130', '01_HOOFD_180', '01_HOOFD_190_1', '01_HOOFD_190_2', '01_HOOFD_200', '01_HOOFD_205', '01_HOOFD_250', '01_HOOFD_260', '01_HOOFD_270', '01_HOOFD_370', '01_HOOFD_375', '01_HOOFD_380', '01_HOOFD_430', '01_HOOFD_440_1', '01_HOOFD_440_2', '01_HOOFD_445', '01_HOOFD_450', '01_HOOFD_451', '01_HOOFD_455', '01_HOOFD_460', '01_HOOFD_465', '01_HOOFD_470', '01_HOOFD_480', '01_HOOFD_490_1', '01_HOOFD_490_2', '01_HOOFD_490_3', '01_HOOFD_500', '04_BPT_010', '04_BPT_020', '04_BPT_030', '05_EIND_010', '06_VD_010', '09_AH_I_010', '10_UOV_010', '10_UOV_020', '10_UOV_030', '10_UOV_040', '10_UOV_045', '10_UOV_050_1', '10_UOV_050_2', '10_UOV_060']",54,0,0.0,0.0,0,0.0,0.0,3,3.0,3.0,5,5.0,5.0,1.6666666666666667,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45187200.0,45187200.0,45187200.0,0.0,0.0,200832.0,13.599030945054283,54,1,54,54.0,0.0,0.9818244170096022,,54,54.0,54,1.0,0.8638934645206888,54,54
2010-03-01,1,"['01_HOOFD_010', '01_HOOFD_015', '01_HOOFD_020', '01_HOOFD_030_1', '01_HOOFD_030_2', '01_HOOFD_040', '01_HOOFD_050', '01_HOOFD_060', '01_HOOFD_065_1', '01_HOOFD_065_2', '01_HOOFD_090', '01_HOOFD_110', '01_HOOFD_120', '01_HOOFD_130', '01_HOOFD_180', '01_HOOFD_190_1', '01_HOOFD_190_2', '01_HOOFD_200', '01_HOOFD_205', '01_HOOFD_250', '01_HOOFD_260', '01_HOOFD_270', '01_HOOFD_370', '01_HOOFD_375', '01_HOOFD_380', '01_HOOFD_430', '01_HOOFD_440_1', '01_HOOFD_440_2', '01_HOOFD_445', '01_HOOFD_450', '01_HOOFD_451', '01_HOOFD_455', '01_HOOFD_460', '01_HOOFD_465', '01_HOOFD_470', '01_HOOFD_480', '01_HOOFD_490_1', '01_HOOFD_490_2', '01_HOOFD_490_3', '01_HOOFD_500', '04_BPT_010', '04_BPT_020', '04_BPT_030', '05_EIND_010', '06_VD_010', '09_AH_I_010', '10_UOV_010', '10_UOV_020', '10_UOV_030', '10_UOV_040', '10_UOV_045', '10_UOV_050_1', '10_UOV_050_2', '10_UOV_060']",54,0,0.0,0.0,0,0.0,0.0,3,3.0,3.0,5,5.0,5.0,1.6666666666666667,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45187200.0,45187200.0,45187200.0,0.0,0.0,200832.0,13.599030945054283,54,1,54,54.0,0.0,0.9818244170096022,,54,54.0,54,1.0,0.8638934645206888,54,54
2010-04-01,1,"['01_HOOFD_010', '01_HOOFD_015', '01_HOOFD_020', '01_HOOFD_030_1', '01_HOOFD_030_2', '01_HOOFD_040', '01_HOOFD_050', '01_HOOFD_060', '01_HOOFD_065_1', '01_HOOFD_065_2', '01_HOOFD_090', '01_HOOFD_110', '01_HOOFD_120', '01_HOOFD_130', '01_HOOFD_180', '01_HOOFD_190_1', '01_HOOFD_190_2', '01_HOOFD_200', '01_HOOFD_205', '01_HOOFD_250', '01_HOOFD_260', '01_HOOFD_270', '01_HOOFD_370', '01_HOOFD_375', '01_HOOFD_380', '01_HOOFD_430', '01_HOOFD_440_1', '01_HOOFD_440_2', '01_HOOFD_445', '01_HOOFD_450', '01_HOOFD_451', '01_HOOFD_455', '01_HOOFD_460', '01_HOOFD_465', '01_HOOFD_470', '01_HOOFD_480', '01_HOOFD_490_1', '01_HOOFD_490_2', '01_HOOFD_490_3', '01_HOOFD_500', '04_BPT_010', '04_BPT_020', '04_BPT_030', '05_EIND_010', '06_VD_010', '09_AH_I_010', '10_UOV_010', '10_UOV_020', '10_UOV_030', '10_UOV_040', '10_UOV_045', '10_UOV_050_1', '10_UOV_050_2', '10_UOV_060']",54,0,0.0,0.0,0,0.0,0.0,3,3.0,3.0,5,5.0,5.0,1.6666666666666667,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45187200.0,45187200.0,45187200.0,0.0,0.0,200832.0,13.599030945054283,54,1,54,54.0,0.0,0.9818244170096022,,54,54.0,54,1.0,0.8638934645206888,54,54
2010-05-01,2,"['01_HOOFD_010', '01_HOOFD_011', '01_HOOFD_015', '01_HOOFD_020', '01_HOOFD_030_1', '01_HOOFD_030_2', '01_HOOFD_040', '01_HOOFD_050', '01_HOOFD_060', '01_HOOFD_065_0', '01_HOOFD_065_1', '01_HOOFD_065_2', '01_HOOFD_090', '01_HOOFD_110', '01_HOOFD_110_0', '01_HOOFD_120', '01_HOOFD_130', '01_HOOFD_180', '01_HOOFD_190_1', '01_HOOFD_190_2', '01_HOOFD_195', '01_HOOFD_196', '01_HOOFD_200', '01_HOOFD_205', '01_HOOFD_250', '01_HOOFD_250_1', '01_HOOFD_250_2', '01_HOOFD_260', '01_HOOFD_270', '01_HOOFD_330', '01_HOOFD_370', '01_HOOFD_375', '01_HOOFD_380', '01_HOOFD_430', '01_HOOFD_440_1', '01_HOOFD_440_1a', '01_HOOFD_440_2', '01_HOOFD_445', '01_HOOFD_446', '01_HOOFD_450', '01_HOOFD_451', '01_HOOFD_455', '01_HOOFD_459', '01_HOOFD_460', '01_HOOFD_460a', '01_HOOFD_465', '01_HOOFD_470', '01_HOOFD_480', '01_HOOFD_490_1', '01_HOOFD_490_1a', '01_HOOFD_490_2', '01_HOOFD_490_3', '01_HOOFD_490_4', '01_HOOFD_490_5', '01_HOOFD_490_5a', '01_HOOFD_491', '01_HOOFD_494a', '01_HOOFD_495', '01_HOOFD_500', '01_HOOFD_510_0', '02_DRZ_010', '03_GBH_005', '04_BPT_005', '04_BPT_010', '04_BPT_020', '04_BPT_021', '04_BPT_029', '04_BPT_030', '05_EIND_010', '06_VD_010', '06_VD_011', '06_VD_016', '06_VD_020', '08_AWB45_005', '08_AWB45_010', '08_AWB45_020_1', '08_AWB45_020_2', '08_AWB45_025', '08_AWB45_030', '08_AWB45_040', '08_AWB45_045', '08_AWB45_051_0', '08_AWB45_051_1', '08_AWB45_051_2', '09_AH_I_010', '10_UOV_010', '10_UOV_020', '10_UOV_030', '10_UOV_040', '10_UOV_045', '10_UOV_050_1', '10_UOV_050_2', '10_UOV_060', '11_AH_II_010', '12_AP_010', '12_AP_011', '12_AP_020_0', '12_AP_020_1', '12_AP_020_2', '12_AP_025', '12_AP_030', '12_AP_050', '12_AP_055', '12_AP_060', '13_CRD_010']",105,0,0.0,0.0,8,4.0,4.0,5,3.0,3.0,9,4.5,4.5,1.8,2.0,92.86138138901845,0.13538778420164224,92.86138138901845,0.13538778420164224,43.73915149386113,0.06376974706854942,60.13540913844082,0.08767476504797608,92.86138138901845,0.13538778420164224,92.86138138901845,0.13538778420164224,43.73915149386113,0.06376974706854942,60.13540913844082,0.08767476504797608,77045667.0,77045667.0,108904134.0,0.0,0.0,342425.18666666665,23.186796475890244,139,2,105,65.5,0.0,0.9882993197278912,0.05426356589147287,54,69.5,85,1.0,0.9102167241479588,118,139
2010-06-01,2,"['01_HOOFD_010', '01_HOOFD_011', '01_HOOFD_015', '01_HOOFD_020', '01_HOOFD_030_1', '01_HOOFD_030_2', '01_HOOFD_040', '01_HOOFD_050', '01_HOOFD_060', '01_HOOFD_065_0', '01_HOOFD_065_1', '01_HOOFD_065_2', '01_HOOFD_090', '01_HOOFD_110', '01_HOOFD_110_0', '01_HOOFD_120', '01_HOOFD_130', '01_HOOFD_180', '01_HOOFD_190_1', '01_HOOFD_190_2', '01_HOOFD_195', '01_HOOFD_196', '01_HOOFD_200', '01_HOOFD_205', '01_HOOFD_250', '01_HOOFD_250_1', '01_HOOFD_250_2', '01_HOOFD_260', '01_HOOFD_270', '01_HOOFD_330', '01_HOOFD_370', '01_HOOFD_375', '01_HOOFD_380', '01_HOOFD_430', '01_HOOFD_440_1', '01_HOOFD_440_1a', '01_HOOFD_440_2', '01_HOOFD_445', '01_HOOFD_446', '01_HOOFD_450', '01_HOOFD_451', '01_HOOFD_455', '01_HOOFD_459', '01_HOOFD_460', '01_HOOFD_460a', '01_HOOFD_465', '01_HOOFD_470', '01_HOOFD_480', '01_HOOFD_490_1', '01_HOOFD_490_1a', '01_HOOFD_490_2', '01_HOOFD_490_3', '01_HOOFD_490_4', '01_HOOFD_490_5', '01_HOOFD_490_5a', '01_HOOFD_491', '01_HOOFD_494a', '01_HOOFD_495', '01_HOOFD_500', '01_HOOFD_510_0', '02_DRZ_010', '03_GBH_005', '04_BPT_005', '04_BPT_010', '04_BPT_020', '04_BPT_021', '04_BPT_029', '04_BPT_030', '05_EIND_010', '06_VD_010', '06_VD_011', '06_VD_016', '06_VD_020', '08_AWB45_005', '08_AWB45_010', '08_AWB45_020_1', '08_AWB45_020_2', '08_AWB45_025', '08_AWB45_030', '08_AWB45_040', '08_AWB45_045', '08_AWB45_051_0', '08_AWB45_051_1', '08_AWB45_051_2', '09_AH_I_010', '10_UOV_010', '10_UOV_020', '10_UOV_030', '10_UOV_040', '10_UOV_045', '10_UOV_050_1', '10_UOV_050_2', '10_UOV_060', '11_AH_II_010', '12_AP_010', '12_AP_011', '12_AP_020_0', '12_AP_020_1', '12_AP_020_2', '12_AP_025', '12_AP_030', '12_AP_050', '12_AP_055', '12_AP_060', '13_CRD_010']",105,0,0.0,0.0,8,4.0,4.0,5,3.0,3.0,9,4.5,4.5,1.8,2.0,92.86138138901845,0.13538778420164224,92.86138138901845,0.13538778420164224,43.73915149386113,0.06376974706854942,60.13540913844082,0.08767476504797608,92.86138138901845,0.13538778420164224,92.86138138901845,0.13538778420164224,43.73915149386113,0.06376974706854942,60.13540913844082,0.08767476504797608,77045667.0,77045667.0,108904134.0,0.0,0.0,342425.18666666665,23.186796475890244,139,2,105,65.5,0.0,0.9882993197278912,0.05426356589147287,54,69.5,85,1.0,0.9102167241479588,118,139
2010-07-01,2,"['01_HOOFD_010', '01_HOOFD_011', '01_HOOFD_015', '01_HOOFD_020', '01_HOOFD_030_1', '01_HOOFD_030_2', '01_HOOFD_040', '01_HOOFD_050', '01_HOOFD_060', '01_HOOFD_065_0', '01_HOOFD_065_1', '01_HOOFD_065_2', '01_HOOFD_090', '01_HOOFD_110', '01_HOOFD_110_0', '01_HOOFD_120', '01_HOOFD_130', '01_HOOFD_180', '01_HOOFD_190_1', '01_HOOFD_190_2', '01_HOOFD_195', '01_HOOFD_196', '01_HOOFD_200', '01_HOOFD_205', '01_HOOFD_250', '01_HOOFD_250_1', '01_HOOFD_250_2', '01_HOOFD_260', '01_HOOFD_270', '01_HOOFD_330', '01_HOOFD_370', '01_HOOFD_375', '01_HOOFD_380', '01_HOOFD_430', '01_HOOFD_440_1', '01_HOOFD_440_1a', '01_HOOFD_440_2', '01_HOOFD_445', '01_HOOFD_446', '01_HOOFD_450', '01_HOOFD_451', '01_HOOFD_455', '01_HOOFD_459', '01_HOOFD_460', '01_HOOFD_460a', '01_HOOFD_465', '01_HOOFD_470', '01_HOOFD_480', '01_HOOFD_490_1', '01_HOOFD_490_1a', '01_HOOFD_490_2', '01_HOOFD_490_3', '01_HOOFD_490_4', '01_HOOFD_490_5', '01_HOOFD_490_5a', '01_HOOFD_491', '01_HOOFD_494a', '01_HOOFD_495', '01_HOOFD_500', '01_HOOFD_510_0', '02_DRZ_010', '03_GBH_005', '04_BPT_005', '04_BPT_010', '04_BPT_020', '04_BPT_021', '04_BPT_029', '04_BPT_030', '05_EIND_010', '06_VD_010', '06_VD_011', '06_VD_016', '06_VD_020', '08_AWB45_005', '08_AWB45_010', '08_AWB45_020_1', '08_AWB45_020_2', '08_AWB45_025', '08_AWB45_030', '08_AWB45_040', '08_AWB45_045', '08_AWB45_051_0', '08_AWB45_051_1', '08_AWB45_051_2', '09_AH_I_010', '10_UOV_010', '10_UOV_020', '10_UOV_030', '10_UOV_040', '10_UOV_045', '10_UOV_050_1', '10_UOV_050_2', '10_UOV_060', '11_AH_II_010', '12_AP_010', '12_AP_011', '12_AP_020_0', '12_AP_020_1', '12_AP_020_2', '12_AP_025', '12_AP_030', '12_AP_050', '12_AP_055', '12_AP_060', '13_CRD_010']",105,0,0.0,0.0,8,4.0,4.0,5,3.0,3.0,9,4.5,4.5,1.8,2.0,92.86138138901845,0.13538778420164224,92.86138138901845,0.13538778420164224,43.73915149386113,0.06376974706854942,60.13540913844082,0.08767476504797608,92.86138138901845,0.13538778420164224,92.86138138901845,0.13538778420164224,43.73915149386113,0.06376974706854942,60.13540913844082,0.08767476504797608,77045667.0,77045667.0,108904134.0,0.0,0.0,342425.18666666665,23.186796475890244,139,2,105,65.5,0.0,0.9882993197278912,0.05426356589147287,54,69.5,85,1.0,0.9102167241479588,118,139
2010-08-01,2,"['01_HOOFD_010', '01_HOOFD_011', '01_HOOFD_015', '01_HOOFD_020', '01_HOOFD_030_1', '01_HOOFD_030_2', '01_HOOFD_040', '01_HOOFD_050', '01_HOOFD_060', '01_HOOFD_065_0', '01_HOOFD_065_1', '01_HOOFD_065_2', '01_HOOFD_090', '01_HOOFD_110', '01_HOOFD_110_0', '01_HOOFD_120', '01_HOOFD_130', '01_HOOFD_180', '01_HOOFD_190_1', '01_HOOFD_190_2', '01_HOOFD_195', '01_HOOFD_196', '01_HOOFD_200', '01_HOOFD_205', '01_HOOFD_250', '01_HOOFD_250_1', '01_HOOFD_250_2', '01_HOOFD_260', '01_HOOFD_270', '01_HOOFD_330', '01_HOOFD_370', '01_HOOFD_375', '01_HOOFD_380', '01_HOOFD_430', '01_HOOFD_440_1', '01_HOOFD_440_1a', '01_HOOFD_440_2', '01_HOOFD_445', '01_HOOFD_446', '01_HOOFD_450', '01_HOOFD_451', '01_HOOFD_455', '01_HOOFD_459', '01_HOOFD_460', '01_HOOFD_460a', '01_HOOFD_465', '01_HOOFD_470', '01_HOOFD_480', '01_HOOFD_490_1', '01_HOOFD_490_1a', '01_HOOFD_490_2', '01_HOOFD_490_3', '01_HOOFD_490_4', '01_HOOFD_490_5', '01_HOOFD_490_5a', '01_HOOFD_491', '01_HOOFD_494a', '01_HOOFD_495', '01_HOOFD_500', '01_HOOFD_510_0', '02_DRZ_010', '03_GBH_005', '04_BPT_005', '04_BPT_010', '04_BPT_020', '04_BPT_021', '04_BPT_029', '04_BPT_030', '05_EIND_010', '06_VD_010', '06_VD_011', '06_VD_016', '06_VD_020', '08_AWB45_005', '08_AWB45_010', '08_AWB45_020_1', '08_AWB45_020_2', '08_AWB45_025', '08_AWB45_030', '08_AWB45_040', '08_AWB45_045', '08_AWB45_051_0', '08_AWB45_051_1', '08_AWB45_051_2', '09_AH_I_010', '10_UOV_010', '10_UOV_020', '10_UOV_030', '10_UOV_040', '10_UOV_045', '10_UOV_050_1', '10_UOV_050_2', '10_UOV_060', '11_AH_II_010', '12_AP_010', '12_AP_011', '12_AP_020_0', '12_AP_020_1', '12_AP_020_2', '12_AP_025', '12_AP_030', '12_AP_050', '12_AP_055', '12_AP_060', '13_CRD_010']",105,0,0.0,0.0,8,4.0,4.0,5,3.0,3.0,9,4.5,4.5,1.8,2.0,92.86138138901845,0.13538778420164224,92.86138138901845,0.13538778420164224,43.73915149386113,0.06376974706854942,60.13540913844082,0.08767476504797608,92.86138138901845,0.13538778420164224,92.86138138901845,0.13538778420164224,43.73915149386113,0.06376974706854942,60.13540913844082,0.08767476504797608,77045667.0,77045667.0,108904134.0,0.0,0.0,342425.18666666665,23.186796475890244,139,2,105,65.5,0.0,0.9882993197278912,0.05426356589147287,54,69.5,85,1.0,0.9102167241479588,118,139
2010-09-01,2,"['01_HOOFD_010', '01_HOOFD_011', '01_HOOFD_015', '01_HOOFD_020', '01_HOOFD_030_1', '01_HOOFD_030_2', '01_HOOFD_040', '01_HOOFD_050', '01_HOOFD_060', '01_HOOFD_065_0', '01_HOOFD_065_1', '01_HOOFD_065_2', '01_HOOFD_090', '01_HOOFD_110', '01_HOOFD_110_0', '01_HOOFD_120', '01_HOOFD_130', '01_HOOFD_180', '01_HOOFD_190_1', '01_HOOFD_190_2', '01_HOOFD_195', '01_HOOFD_196', '01_HOOFD_200', '01_HOOFD_205', '01_HOOFD_250', '01_HOOFD_250_1', '01_HOOFD_250_2', '01_HOOFD_260', '01_HOOFD_270', '01_HOOFD_330', '01_HOOFD_370', '01_HOOFD_375', '01_HOOFD_380', '01_HOOFD_430', '01_HOOFD_440_1', '01_HOOFD_440_1a', '01_HOOFD_440_2', '01_HOOFD_445', '01_HOOFD_446', '01_HOOFD_450', '01_HOOFD_451', '01_HOOFD_455', '01_HOOFD_459', '01_HOOFD_460', '01_HOOFD_460a', '01_HOOFD_465', '01_HOOFD_470', '01_HOOFD_480', '01_HOOFD_490_1', '01_HOOFD_490_1a', '01_HOOFD_490_2', '01_HOOFD_490_3', '01_HOOFD_490_4', '01_HOOFD_490_5', '01_HOOFD_490_5a', '01_HOOFD_491', '01_HOOFD_494a', '01_HOOFD_495', '01_HOOFD_500', '01_HOOFD_510_0', '02_DRZ_010', '03_GBH_005', '04_BPT_005', '04_BPT_010', '04_BPT_020', '04_BPT_021', '04_BPT_029', '04_BPT_030', '05_EIND_010', '06_VD_010', '06_VD_011', '06_VD_016', '06_VD_020', '08_AWB45_005', '08_AWB45_010', '08_AWB45_020_1', '08_AWB45_020_2', '08_AWB45_025', '08_AWB45_030', '08_AWB45_040', '08_AWB45_045', '08_AWB45_051_0', '08_AWB45_051_1', '08_AWB45_051_2', '09_AH_I_010', '10_UOV_010', '10_UOV_020', '10_UOV_030', '10_UOV_040', '10_UOV_045', '10_UOV_050_1', '10_UOV_050_2', '10_UOV_060', '11_AH_II_010', '12_AP_010', '12_AP_011', '12_AP_020_0', '12_AP_020_1', '12_AP_020_2', '12_AP_025', '12_AP_030', '12_AP_050', '12_AP_055', '12_AP_060', '13_CRD_010']",105,0,0.0,0.0,8,4.0,4.0,5,3.0,3.0,9,4.5,4.5,1.8,2.0,92.86138138901845,0.13538778420164224,92.86138138901845,0.13538778420164224,43.73915149386113,0.06376974706854942,60.13540913844082,0.08767476504797608,92.86138138901845,0.13538778420164224,92.86138138901845,0.13538778420164224,43.73915149386113,0.06376974706854942,60.13540913844082,0.08767476504797608,77045667.0,77045667.0,108904134.0,0.0,0.0,342425.18666666665,23.186796475890244,139,2,105,65.5,0.0,0.9882993197278912,0.05426356589147287,54,69.5,85,1.0,0.9102167241479588,118,139
2010-10-01,25,"['01_BB_540', '01_BB_630', '01_BB_770', '01_HOOFD_010', '01_HOOFD_011', '01_HOOFD_015', '01_HOOFD_020', '01_HOOFD_030_1', '01_HOOFD_030_2', '01_HOOFD_040', '01_HOOFD_050', '01_HOOFD_055', '01_HOOFD_060', '01_HOOFD_065_0', '01_HOOFD_065_1', '01_HOOFD_065_2', '01_HOOFD_090', '01_HOOFD_100', '01_HOOFD_110', '01_HOOFD_110_0', '01_HOOFD_120', '01_HOOFD_130', '01_HOOFD_170', '01_HOOFD_180', '01_HOOFD_190_1', '01_HOOFD_190_2', '01_HOOFD_195', '01_HOOFD_195_1', '01_HOOFD_195_2', '01_HOOFD_196', '01_HOOFD_200', '01_HOOFD_205', '01_HOOFD_250', '01_HOOFD_250_1', '01_HOOFD_250_2', '01_HOOFD_260', '01_HOOFD_265', '01_HOOFD_270', '01_HOOFD_330', '01_HOOFD_340_1', '01_HOOFD_370', '01_HOOFD_375', '01_HOOFD_380', '01_HOOFD_430', '01_HOOFD_440_1', '01_HOOFD_440_1a', '01_HOOFD_440_2', '01_HOOFD_445', '01_HOOFD_446', '01_HOOFD_450', '01_HOOFD_451', '01_HOOFD_455', '01_HOOFD_456', '01_HOOFD_459', '01_HOOFD_460', '01_HOOFD_460a', '01_HOOFD_465', '01_HOOFD_470', '01_HOOFD_480', '01_HOOFD_490_1', '01_HOOFD_490_1a', '01_HOOFD_490_2', '01_HOOFD_490_3', '01_HOOFD_490_4', '01_HOOFD_490_5', '01_HOOFD_490_5a', '01_HOOFD_491', '01_HOOFD_494a', '01_HOOFD_495', '01_HOOFD_500', '01_HOOFD_510_0', '01_HOOFD_510_1', '01_HOOFD_510_2', '01_HOOFD_520', '01_HOOFD_530', '01_HOOFD_790', '02_DRZ_010', '03_GBH_005', '04_BPT_005', '04_BPT_010', '04_BPT_020', '04_BPT_021', '04_BPT_029', '04_BPT_030', '05_EIND_010', '05_EIND_020', '05_EIND_030_1', '05_EIND_030_2', '05_EIND_040', '05_EIND_050', '05_EIND_060', '05_EIND_070', '06_VD_010', '06_VD_011', '06_VD_016', '06_VD_020', '06_VD_020_1', '06_VD_020_2', '06_VD_030', '06_VD_040', '06_VD_050', '06_VD_060', '06_VD_070', '06_VD_100', '06_VD_140', '08_AWB45_005', '08_AWB45_010', '08_AWB45_020_1', '08_AWB45_020_2', '08_AWB45_025', '08_AWB45_030', '08_AWB45_040', '08_AWB45_045', '08_AWB45_051_0', '08_AWB45_051_1', '08_AWB45_051_2', '08_AWB45_060', '08_AWB45_070_1', '08_AWB45_070_2', '08_AWB45_070_3', '08_AWB45_170', '09_AH_I_010', '10_UOV_010', '10_UOV_020', '10_UOV_030', '10_UOV_040', '10_UOV_045', '10_UOV_050_1', '10_UOV_050_2', '10_UOV_060', '11_AH_II_010', '12_AP_010', '12_AP_011', '12_AP_020_0', '12_AP_020_1', '12_AP_020_2', '12_AP_025', '12_AP_030', '12_AP_050', '12_AP_055', '12_AP_060', '13_CRD_010']",142,1,0.04,0.0,44,1.76,1.0,9,2.12,2.0,48,1.92,2.0,5.333333333333333,5.0,2567.721180388235,0.44187541487439763,2842.1453450627573,0.4321652701388361,805.9255247596475,0.12254581656936536,1422.9756673393301,0.21637199685968672,2924.3868346170057,0.4446705825823301,2924.3868346170057,0.4446705825823301,821.8792175444005,0.12497167137795628,1459.647935674275,0.2219482355200728,6444745.0,12277696.0,6444745.0,0.0,0.0,28643.31111111111,1.9395378932083394,958,25,142,36.56,1.76,0.9842293195794485,0.19061267234465742,3,38.32,85,0.92,0.9053290827114093,426,944
