Date,Cases,Distinct activities,Number of distinct activities,Number of simple cycles in period,Average number of simple cycles per trace,Median number of simple cycles per trace,Number of activity repetitions in period,Average number of activity repetitions per trace,Median number of activity repetitions per trace,Number of participants in period,Average number of participants per trace,Median number of participants per trace,Handover of work in period,Average handover of work per trace,Median handover of work per trace,Average handover of work from participant,Median handover of work from participant,Simple Variant Entropy,Simple Normalized Variant Entropy,Simple Sequence Entropy,Simple Normalized Sequence Entropy,Simple Sequence Entropy (linear forgetting),Simple Normalized Sequence Entropy (linear forgetting),"Simple Sequence Entropy (exponential forgetting, k1)","Simple Normalized Sequence Entropy (exponential forgetting, k1)",Enriched Variant Entropy,Enriched Normalized Variant Entropy,Enriched Sequence Entropy,Enriched Normalized Sequence Entropy,Enriched Sequence Entropy (linear forgetting),Enriched Normalized Sequence Entropy (linear forgetting),"Enriched Sequence Entropy (exponential forgetting, k1)","Enriched Normalized Sequence Entropy (exponential forgetting, k1)",Median throughput time,Average throughput time,PM4Py median throughput time,Median cycle time,Average cycle time,Ratio to shortest,Ratio to median,Magnitude,Support,Variety,Level of detail,Time granularity,Structure,Affinity,Minimum trace length,Average trace length,Maximum trace length,Distinct traces,Deviation from random,Lempel-Ziv,Pentland task complexity
2016-01-01,2194,"['A_Accepted', 'A_Cancelled', 'A_Complete', 'A_Concept', 'A_Create Application', 'A_Denied', 'A_Incomplete', 'A_Pending', 'A_Submitted', 'A_Validating', 'O_Accepted', 'O_Cancelled', 'O_Create Offer', 'O_Created', 'O_Refused', 'O_Returned', 'O_Sent (mail and online)', 'O_Sent (online only)', 'W_Assess potential fraud', 'W_Call after offers', 'W_Call incomplete files', 'W_Complete application', 'W_Handle leads', 'W_Validate application']",24,980,0.44667274384685507,0.0,6514,2.969006381039198,2.0,80,4.546034639927074,4.0,10651,4.854603463992707,4.0,133.1375,88.0,32395.242975859357,0.7458535797764624,138343.0844718866,0.3778776973071347,24834.96703248401,0.06783555673027336,61445.60198475835,0.16783580239147863,267601.96323426045,0.7309423094609412,267601.96323426045,0.7309423094609412,39728.13079413966,0.10851554047760809,114926.79460021245,0.3139171912221142,1530180.316,1937618.6517183227,1530847.2249999046,12379.728,214866.31998906107,7610.489878743871,0.9292238992888281,34991,2194,24,12.979489516864176,0.00915542388331814,0.8229166666666666,0.38309739620825295,8,15.948495897903372,49,0.36873290793072017,0.792679408857677,6634,14916
2016-02-01,3813,"['A_Accepted', 'A_Cancelled', 'A_Complete', 'A_Concept', 'A_Create Application', 'A_Denied', 'A_Incomplete', 'A_Pending', 'A_Submitted', 'A_Validating', 'O_Accepted', 'O_Cancelled', 'O_Create Offer', 'O_Created', 'O_Refused', 'O_Returned', 'O_Sent (mail and online)', 'O_Sent (online only)', 'W_Assess potential fraud', 'W_Call after offers', 'W_Call incomplete files', 'W_Complete application', 'W_Handle leads', 'W_Validate application']",24,1387,0.3637555730396014,0.0,9657,2.5326514555468136,1.0,86,4.317597692105953,4.0,17608,4.617886178861789,4.0,204.74418604651163,141.0,46878.39727438635,0.7525703698603466,227291.45183006529,0.3536549461111968,55454.3327603469,0.08628436708062197,107394.32187363463,0.16710057861421454,480004.64148887317,0.7468649359756392,480004.64148887317,0.7468649359756392,104904.10074047267,0.16322591014972782,221004.00481103745,0.34387197047006374,1941780.244,2062911.902562549,1941780.243999958,7333.487,242896.60256805664,9657.619261720265,1.1791738470459399,58546,3813,24,12.82166273275636,0.010343299239444007,0.7916666666666666,0.39137189505604775,8,15.354314188303173,49,0.2916338840807763,0.7922607016569916,10450,20984
2016-03-01,4147,"['A_Accepted', 'A_Cancelled', 'A_Complete', 'A_Concept', 'A_Create Application', 'A_Denied', 'A_Incomplete', 'A_Pending', 'A_Submitted', 'A_Validating', 'O_Accepted', 'O_Cancelled', 'O_Create Offer', 'O_Created', 'O_Refused', 'O_Returned', 'O_Sent (mail and online)', 'O_Sent (online only)', 'W_Assess potential fraud', 'W_Call after offers', 'W_Call incomplete files', 'W_Complete application', 'W_Handle leads', 'W_Validate application']",24,1122,0.27055702917771884,0.0,8554,2.06269592476489,0.0,90,4.127562093079335,4.0,18201,4.388955871714493,4.0,202.23333333333332,134.5,43434.079860383834,0.754636504218318,219240.08304077075,0.3236656013616901,81026.75696925174,0.11962034340209297,117425.86542701932,0.1733565907370379,508981.34870842064,0.7514125703052182,508981.34870842064,0.7514125703052182,173605.98415957135,0.2562956758803377,264868.73579751427,0.39102748669307236,1981989.448,2028637.1855760792,1981989.4340000153,5205.408,223633.13030045817,9857.603366125872,1.203591461713635,61435,4147,24,12.751627682662166,0.011517964793826862,0.7829861111111112,0.4015874492659261,7,14.814323607427056,49,0.2638051603568845,0.7909823468476659,10883,19953
2016-04-01,3788,"['A_Accepted', 'A_Cancelled', 'A_Complete', 'A_Concept', 'A_Create Application', 'A_Denied', 'A_Incomplete', 'A_Pending', 'A_Submitted', 'A_Validating', 'O_Accepted', 'O_Cancelled', 'O_Create Offer', 'O_Created', 'O_Refused', 'O_Returned', 'O_Sent (mail and online)', 'O_Sent (online only)', 'W_Assess potential fraud', 'W_Call after offers', 'W_Call incomplete files', 'W_Complete application', 'W_Handle leads', 'W_Validate application']",24,1005,0.26531151003167897,0.0,8096,2.13727560718057,0.0,92,4.130939809926082,4.0,16671,4.401003167898628,4.0,181.20652173913044,119.5,42753.275978051606,0.7507188980363814,204380.8528061146,0.3321336819575562,99557.6128111295,0.1617883282894098,123079.5541003854,0.20001318575490473,460873.8386821844,0.7489533528105876,460873.8386821844,0.7489533528105876,210621.67348014985,0.3422754673569474,269187.0404264885,0.43744842848327886,2221051.918,2120188.3274862724,2221719.125,4285.2455,236144.1672283527,11046.602132675493,1.3487655684670894,56260,3788,24,12.714889123548046,0.012147571277719113,0.7916666666666666,0.4003683438777327,7,14.852164730728617,49,0.27587117212249207,0.7911413981439808,9954,19241
2016-05-01,3564,"['A_Accepted', 'A_Cancelled', 'A_Complete', 'A_Concept', 'A_Create Application', 'A_Denied', 'A_Incomplete', 'A_Pending', 'A_Submitted', 'A_Validating', 'O_Accepted', 'O_Cancelled', 'O_Create Offer', 'O_Created', 'O_Refused', 'O_Returned', 'O_Sent (mail and online)', 'O_Sent (online only)', 'W_Assess potential fraud', 'W_Call after offers', 'W_Call incomplete files', 'W_Complete application', 'W_Handle leads', 'W_Validate application']",24,1368,0.3838383838383838,0.0,9864,2.7676767676767677,1.0,97,4.356060606060606,4.0,16795,4.712401795735129,4.0,173.1443298969072,127.0,51409.47078662084,0.7501840387109112,214998.16783641328,0.3530365446225487,101254.32946110735,0.1662641080189161,127058.66534586358,0.20863597410833065,452775.79020718235,0.743477965752298,452775.79020718235,0.743477965752298,202619.57904869842,0.33271035181404357,261351.22532345197,0.42915032462631925,2143171.443,2142903.4596099886,2143447.549000025,10941.1305,246674.46848148148,10659.256562652316,1.3014715352729216,55727,3564,24,12.868406285072952,0.011077441077441078,0.796875,0.3836032298686605,7,15.636083052749719,54,0.330246913580247,0.7945025264254213,9971,22630
2016-06-01,4349,"['A_Accepted', 'A_Cancelled', 'A_Complete', 'A_Concept', 'A_Create Application', 'A_Denied', 'A_Incomplete', 'A_Pending', 'A_Submitted', 'A_Validating', 'O_Accepted', 'O_Cancelled', 'O_Create Offer', 'O_Created', 'O_Refused', 'O_Returned', 'O_Sent (mail and online)', 'O_Sent (online only)', 'W_Assess potential fraud', 'W_Call after offers', 'W_Call incomplete files', 'W_Complete application', 'W_Handle leads', 'W_Validate application']",24,1787,0.4108990572545413,0.0,12597,2.8965279374568866,1.0,99,4.459415957691423,4.0,20990,4.826396872844332,4.0,212.02020202020202,169.0,61826.98722175104,0.7583285429857651,267450.46936106856,0.34808354796038654,131491.54173600898,0.17113464965529712,161314.59321726803,0.20994899010271387,574313.3249312699,0.7474618394223782,574313.3249312699,0.7474618394223782,271151.0675102333,0.35289983164990174,339616.378001108,0.44200660437236605,2055773.04,2177104.7815870317,2055773.0370001793,17811.801,298206.12339457346,10224.572718862837,1.2483976040648845,68964,4349,24,12.960910554150379,0.010660151759025063,0.7864583333333334,0.38652795364771414,7,15.857438491607265,54,0.3193837663830766,0.7951385920472491,12289,27282
2016-07-01,5136,"['A_Accepted', 'A_Cancelled', 'A_Complete', 'A_Concept', 'A_Create Application', 'A_Denied', 'A_Incomplete', 'A_Pending', 'A_Submitted', 'A_Validating', 'O_Accepted', 'O_Cancelled', 'O_Create Offer', 'O_Created', 'O_Refused', 'O_Returned', 'O_Sent (mail and online)', 'O_Sent (online only)', 'W_Assess potential fraud', 'W_Call after offers', 'W_Call incomplete files', 'W_Complete application', 'W_Handle leads', 'W_Validate application']",24,1722,0.3352803738317757,0.0,12465,2.426985981308411,1.0,101,4.376168224299065,4.0,23068,4.491433021806854,4.0,228.3960396039604,176.0,62092.81710366476,0.7677692869681876,294484.9605168315,0.3339755467052224,140601.70081416276,0.15945646193504076,175118.31352758323,0.198601770344494,665074.5743180629,0.7542614202361712,665074.5743180629,0.7542614202361712,303829.2233527182,0.3445728800416873,387319.1438107868,0.4392588422056711,2223552.7240000004,2212312.0863983645,2224214.9409999847,852.3444999999999,273069.64492601244,11059.040116978844,1.3502842187061408,78255,5136,24,12.809579439252337,0.010755841121495326,0.7795138888888888,0.39332506265889866,7,15.236565420560748,54,0.2887461059190031,0.7932074294142551,13825,28325
2016-08-01,5234,"['A_Accepted', 'A_Cancelled', 'A_Complete', 'A_Concept', 'A_Create Application', 'A_Denied', 'A_Incomplete', 'A_Pending', 'A_Submitted', 'A_Validating', 'O_Accepted', 'O_Cancelled', 'O_Create Offer', 'O_Created', 'O_Refused', 'O_Returned', 'O_Sent (mail and online)', 'O_Sent (online only)', 'W_Assess potential fraud', 'W_Call after offers', 'W_Call incomplete files', 'W_Complete application', 'W_Handle leads', 'W_Validate application']",24,1530,0.292319449751624,0.0,11830,2.260221627818112,1.0,111,4.296713794421093,4.0,22238,4.248758119984715,4.0,200.34234234234233,128.0,58477.749300471165,0.7694171756519905,315795.49608121463,0.3574674078261481,150406.50548786638,0.17025392795060573,187841.7494419265,0.2126290719398534,667808.6229608898,0.755931672034949,667808.6229608898,0.755931672034949,303779.54387791554,0.34386584814598226,388705.42168727785,0.4399984205689454,2386867.6210000003,2283271.551153611,2387030.078999996,614.7555,224663.53862017576,11871.301494066507,1.4494595275344457,78391,5234,24,12.717042414978984,0.0091178830722201,0.7864583333333334,0.3983662372645135,8,14.977264042797096,54,0.27474207107374854,0.7924308966702704,13691,27398
2016-09-01,5255,"['A_Accepted', 'A_Cancelled', 'A_Complete', 'A_Concept', 'A_Create Application', 'A_Denied', 'A_Incomplete', 'A_Pending', 'A_Submitted', 'A_Validating', 'O_Accepted', 'O_Cancelled', 'O_Create Offer', 'O_Created', 'O_Refused', 'O_Returned', 'O_Sent (mail and online)', 'O_Sent (online only)', 'W_Assess potential fraud', 'W_Call after offers', 'W_Call incomplete files', 'W_Complete application', 'W_Handle leads', 'W_Validate application']",24,1380,0.2626070409134158,0.0,11403,2.1699333967649856,1.0,110,4.260513796384396,4.0,22092,4.203996194100856,4.0,200.83636363636364,129.0,59664.79539115263,0.7692743629200594,305822.2786959919,0.34723899805754876,156618.09507892473,0.1778284781762058,188398.40834544523,0.21391271698207615,666184.0323794208,0.7564036109851909,666184.0323794208,0.7564036109851909,327282.798612702,0.37160586062049566,401860.0203044991,0.4562828823489153,2393774.139,2269602.668171646,2393774.1390001774,641.233,225262.84171855377,11905.651684555012,1.4536536094471215,78171,5255,24,12.705613701236917,0.007695718363463369,0.7795138888888888,0.3973519405844642,8,14.875547098001903,54,0.2766888677450048,0.7926763042209435,13543,27637
2016-10-01,5232,"['A_Accepted', 'A_Cancelled', 'A_Complete', 'A_Concept', 'A_Create Application', 'A_Denied', 'A_Incomplete', 'A_Pending', 'A_Submitted', 'A_Validating', 'O_Accepted', 'O_Cancelled', 'O_Create Offer', 'O_Created', 'O_Refused', 'O_Returned', 'O_Sent (mail and online)', 'O_Sent (online only)', 'W_Assess potential fraud', 'W_Call after offers', 'W_Call incomplete files', 'W_Complete application', 'W_Handle leads', 'W_Validate application']",24,1419,0.27121559633027525,0.0,11301,2.1599770642201834,0.0,108,4.272362385321101,4.0,21915,4.188646788990826,4.0,202.91666666666666,111.0,60630.2727632872,0.7693454423307422,307983.5849123382,0.3508117806063699,191672.09185000035,0.21832601193204876,211819.5813439921,0.2412752112088451,663949.0945561329,0.7562778521443626,663949.0945561329,0.7562778521443626,399541.64102168195,0.4551018995155289,447294.00229770184,0.5094947038988125,2316443.937,2178940.4204298547,2316468.6730000973,665.678,203318.46620928898,11521.042946951686,1.4066937374085946,77942,5232,24,12.737194189602446,0.007594227828746177,0.7899305555555556,0.3956701301244803,7,14.89717125382263,53,0.2800076452599388,0.7928241379542696,13498,27596
